"city","year","month","resp","PM10","Ozone"
"Kaohsiung",1994,1,2.51612903225806,0.87,39.11
"Kaohsiung",1994,2,2.14285714285714,0.64,36.12
"Kaohsiung",1994,3,2.87096774193548,0.77,41.11
"Kaohsiung",1994,4,3.1,0.3,38.67
"Kaohsiung",1994,5,2.54838709677419,0.1,38.88
"Kaohsiung",1994,6,2.13333333333333,0,22.67
"Kaohsiung",1994,7,2.41935483870968,0.03,33.14
"Kaohsiung",1994,8,2,0,23.68
"Kaohsiung",1994,9,2.43333333333333,0.13,50.89
"Kaohsiung",1994,10,1.67741935483871,0.61,59.58
"Kaohsiung",1994,11,2.2,0.97,60.21
"Kaohsiung",1994,12,3.2258064516129,0.9,39.94
"Kaohsiung",1995,1,3.74193548387097,0.77,40.68
"Kaohsiung",1995,2,3.92857142857143,0.71,35.95
"Kaohsiung",1995,3,2.61290322580645,0.58,33.93
"Kaohsiung",1995,4,2.4,0.4,40.76
"Kaohsiung",1995,5,2.45161290322581,0.19,37.1
"Kaohsiung",1995,6,2.26666666666667,0,26.25
"Kaohsiung",1995,7,2.09677419354839,0,26.26
"Kaohsiung",1995,8,2.06451612903226,0.03,33.78
"Kaohsiung",1995,9,1.93333333333333,0.17,46.91
"Kaohsiung",1995,10,1.67741935483871,0.81,65.96
"Kaohsiung",1995,11,1.9,0.97,56.6
"Kaohsiung",1995,12,2.51612903225806,1,51.2
"Kaohsiung",1996,1,3.41935483870968,0.87,51.2
"Kaohsiung",1996,2,3.27586206896552,0.59,46.04
"Kaohsiung",1996,3,2.70967741935484,0.65,49.99
"Kaohsiung",1996,4,2.26666666666667,0.3,45.8
"Kaohsiung",1996,5,3.03225806451613,0.1,44.08
"Kaohsiung",1996,6,2.66666666666667,0,24.01
"Kaohsiung",1996,7,3.41935483870968,0,31.62
"Kaohsiung",1996,8,2.64516129032258,0,30.26
"Kaohsiung",1996,9,2.63333333333333,0,47.78
"Kaohsiung",1996,10,2.09677419354839,0.52,61.92
"Kaohsiung",1996,11,2.03333333333333,0.8,57.16
"Kaohsiung",1996,12,2.83870967741935,0.97,51.5
"Kaohsiung",1997,1,3.03225806451613,0.77,39.37
"Kaohsiung",1997,2,3.17857142857143,0.57,37.93
"Kaohsiung",1997,3,3.38709677419355,0.65,54.47
"Kaohsiung",1997,4,2.53333333333333,0.47,53.32
"Kaohsiung",1997,5,1.90322580645161,0.03,41.01
"Kaohsiung",1997,6,2.36666666666667,0,25.43
"Kaohsiung",1997,7,3.03225806451613,0,35.91
"Kaohsiung",1997,8,3.32258064516129,0,25.8
"Kaohsiung",1997,9,2.6,0.1,49.47
"Kaohsiung",1997,10,2.61290322580645,0.58,72.44
"Kaohsiung",1997,11,2.53333333333333,0.57,63.97
"Kaohsiung",1997,12,2.29032258064516,0.77,44.28
"Kaohsiung",1998,1,3.80645161290323,0.58,42.81
"Kaohsiung",1998,2,5.39285714285714,0.36,33.81
"Kaohsiung",1998,3,3.70967741935484,0.58,45.77
"Kaohsiung",1998,4,3.1,0.2,39.27
"Kaohsiung",1998,5,2.7741935483871,0,41.39
"Kaohsiung",1998,6,2.93333333333333,0,18.09
"Kaohsiung",1998,7,2.25806451612903,0,23.61
"Kaohsiung",1998,8,2.45161290322581,0,30.3
"Kaohsiung",1998,9,2.06666666666667,0.2,65.3
"Kaohsiung",1998,10,2.51612903225806,0.29,63.9
"Kaohsiung",1998,11,2.26666666666667,0.97,68.59
"Kaohsiung",1998,12,2.96774193548387,0.84,47.98
"Kaohsiung",1999,1,3.06451612903226,0.9,46.02
"Kaohsiung",1999,2,4.14285714285714,0.54,61.34
"Kaohsiung",1999,3,4.03225806451613,0.65,49.64
"Kaohsiung",1999,4,3.93333333333333,0.27,55.3
"Kaohsiung",1999,5,3.45161290322581,0.1,48.3
"Kaohsiung",1999,6,2.46666666666667,0.03,24.74
"Kaohsiung",1999,7,3.80645161290323,0,23.44
"Kaohsiung",1999,8,4,0.03,23.48
"Kaohsiung",1999,9,4.43333333333333,0,46.46
"Kaohsiung",1999,10,3.12903225806452,0.45,58.92
"Kaohsiung",1999,11,2.66666666666667,0.87,66.42
"Kaohsiung",1999,12,3.38709677419355,0.65,38.78
"Kaohsiung",2000,1,3.58064516129032,0.74,41.24
"Kaohsiung",2000,2,3.89655172413793,0.69,40.39
"Kaohsiung",2000,3,3.83870967741935,0.87,53.62
"Kaohsiung",2000,4,3.73333333333333,0.23,45.88
"Kaohsiung",2000,5,2.87096774193548,0.19,51.87
"Kaohsiung",2000,6,3.2,0,24.75
"Kaohsiung",2000,7,2.64516129032258,0,37.14
"Kaohsiung",2000,8,2.51612903225806,0,27.41
"Kaohsiung",2000,9,2.93333333333333,0.03,59.37
"Kaohsiung",2000,10,2.80645161290323,0.19,60.79
"Kaohsiung",2000,11,2.7,0.83,57.02
"Kaohsiung",2000,12,4,0.74,45.5
"Kaohsiung",2001,1,4.38709677419355,0.65,48.54
"Kaohsiung",2001,2,4.75,0.79,52.58
"Kaohsiung",2001,3,4.19354838709677,0.45,55.53
"Kaohsiung",2001,4,3.46666666666667,0.37,48.38
"Kaohsiung",2001,5,3.51612903225806,0.06,46.86
"Kaohsiung",2001,6,3.23333333333333,0,32.1
"Kaohsiung",2001,7,3.2258064516129,0,34.84
"Kaohsiung",2001,8,2.51612903225806,0,43.81
"Kaohsiung",2001,9,3.43333333333333,0,49.98
"Kaohsiung",2001,10,3.25806451612903,0.35,73.8
"Kaohsiung",2001,11,3.93333333333333,0.63,61.62
"Kaohsiung",2001,12,4.64516129032258,0.58,54.48
"Kaohsiung",2002,1,5.09677419354839,0.45,54.05
"Kaohsiung",2002,2,5.32142857142857,0.32,62.47
"Kaohsiung",2002,3,3.74193548387097,0.32,53.26
"Kaohsiung",2002,4,3.66666666666667,0.1,49.78
"Kaohsiung",2002,5,3.12903225806452,0,49.1
"Kaohsiung",2002,6,4.03333333333333,0,28.49
"Kaohsiung",2002,7,4.48387096774194,0,32.93
"Kaohsiung",2002,8,4.51612903225806,0,37.8
"Kaohsiung",2002,9,3.7,0,53.72
"Kaohsiung",2002,10,3.80645161290323,0.19,70.97
"Kaohsiung",2002,11,4.4,0.43,65.69
"Kaohsiung",2002,12,3.80645161290323,0.35,47.48
"Kaohsiung",2003,1,4.64516129032258,0.65,51.25
"Kaohsiung",2003,2,5.71428571428571,0.43,53.35
"Kaohsiung",2003,3,4.38709677419355,0.32,49.2
"Kaohsiung",2003,4,4.23333333333333,0.1,48.43
"Kaohsiung",2003,5,4.80645161290323,0.06,59.88
"Kaohsiung",2003,6,4.33333333333333,0.03,39.44
"Kaohsiung",2003,7,3.80645161290323,0,27.99
"Kaohsiung",2003,8,3.35483870967742,0,33.86
"Kaohsiung",2003,9,3.9,0,51.25
"Kaohsiung",2003,10,3.70967741935484,0.26,71.53
"Kaohsiung",2003,11,4.13333333333333,0.7,60.71
"Kaohsiung",2003,12,4.09677419354839,0.58,54.2
"Kaohsiung",2004,1,5.2258064516129,0.65,51.01
"Kaohsiung",2004,2,6.06896551724138,0.83,53.85
